symbol,name
NSE:TANLA-EQ,TANLA PLATFORMS LIMITED
NSE:JASH-EQ,JASH ENGINEERING LIMITED
NSE:ABSLBANETF-EQ,BIRLASLAMC - ABSLBANETF
NSE:ZEEMEDIA-EQ,ZEE MEDIA CORPORATION LTD
NSE:AVTNPL-EQ,AVT NATURAL PRODUCTS LTD
NSE:LUMAXTECH-EQ,LUMAX AUTO TECH LTD
NSE:VEEDOL-EQ,VEEDOL CORPORATION LTD
NSE:HINDOILEXP-EQ,HINDUSTAN OIL EXPLORATION
NSE:SARLAPOLY-EQ,SARLA PERF. FIBERS LTD
NSE:SANGHVIMOV-EQ,SANGHVI MOVERS LTD
NSE:HINDPETRO-EQ,HINDUSTAN PETROLEUM CORP
NSE:WANBURY-EQ,WANBURY LIMITED
NSE:SAGCEM-EQ,SAGAR CEMENTS LIMITED
NSE:IGPL-EQ,I G PETROCHEMICALS LTD
NSE:SIYSIL-EQ,SIYARAM SILK MILLS LTD
NSE:PTL-EQ,PTL ENTERPRISES LTD
NSE:AUTOIND-EQ,AUTOLINE INDUSTRIES LTD
NSE:NETWORK18-EQ,NETWORK18 MEDIA & INV LTD
NSE:GANDHITUBE-EQ,GANDHI SPL. TUBES LTD
NSE:AGI-EQ,AGI GREENPAC LIMITED
NSE:PITTIENG-EQ,PITTI ENGINEERING LIMITED
NSE:SBGLP-EQ,SURATWWALA BUS GROUP LTD
NSE:GLOBAL-EQ,GLOBAL EDUCATION LIMITED
NSE:BTML-EQ,BODHI TREE MULTIMEDIA LTD
NSE:UNOMINDA-EQ,UNO MINDA LIMITED
NSE:NSLNISP-EQ,NMDC STEEL LIMITED
NSE:NINSYS-EQ,NINTEC SYSTEMS LIMITED
NSE:TIMKEN-EQ,TIMKEN INDIA LTD.
NSE:HUBTOWN-EQ,HUBTOWN LIMITED
NSE:CTE-EQ,CAMBRIDGE TECH ENTER LTD
NSE:TIIL-EQ,TECHNOCRAFT IND LTD
NSE:HDFCBSE500-EQ,HDFCAMC - HDFCBSE500
NSE:HDFCSML250-EQ,HDFCAMC - HDFCSML250
NSE:HDFCMID150-EQ,HDFCAMC - HDFCMID150
NSE:HINDZINC-EQ,HINDUSTAN ZINC LIMITED
NSE:TVSSRICHAK-EQ,TVS SRICHAKRA LIMITED
NSE:REDINGTON-EQ,REDINGTON LIMITED
NSE:PGIL-EQ,PEARL GLOBAL IND LIMITED
NSE:ORIENTBELL-EQ,ORIENT BELL LIMITED
NSE:GOLDETF-EQ,MIRAEAMC - MAGOLDETF
NSE:SEQUENT-EQ,SEQUENT SCIENTIFIC LTD.
NSE:PFC-EQ,POWER FIN CORP LTD.
NSE:FSL-EQ,FIRSTSOURCE SOLU. LTD.
NSE:INDIANB-EQ,INDIAN BANK
NSE:TTL-EQ,T T LIMITED
NSE:TFL-EQ,TRANSWARRANTY FIN. LTD.
NSE:SMSPHARMA-EQ,SMS PHARMACEUTICALS LTD.
NSE:HSCL-EQ,HIMADRI SPECIALITY CHEM L
NSE:GANESHHOU-EQ,GANESH HOUSING LIMITED
NSE:ORIENTALTL-EQ,ORIENTAL TRIMEX LTD
NSE:APOLLOPIPE-EQ,APOLLO PIPES LIMITED
NSE:IDEA-EQ,VODAFONE IDEA LIMITED
NSE:POCL-EQ,PONDY OXIDES & CHEM LTD
NSE:AMDIND-EQ,AMD INDUSTRIES LIMITED
NSE:GODREJAGRO-EQ,GODREJ AGROVET LIMITED
NSE:RAJTV-EQ,RAJ TV NETWORK LTD
NSE:PAGEIND-EQ,PAGE INDUSTRIES LTD
NSE:ASTRAL-EQ,ASTRAL LIMITED
NSE:SANOFI-EQ,SANOFI INDIA LIMITED
NSE:LAOPALA-EQ,LA OPALA RG LIMITED
NSE:GOLDBEES-EQ,NIP IND ETF GOLD BEES
NSE:JKTYRE-EQ,JK TYRE & INDUSTRIES LTD
NSE:NAHARSPING-EQ,NAHAR SPINNING MILLS LTD.
