symbol,name
NSE:LIQUIDBEES-EQ,NIP IND ETF LIQUID BEES
NSE:INFOBEAN-EQ,INFOBEANS TECHNO. LTD.
NSE:SANGINITA-EQ,SANGINITA CHEMICALS LTD
NSE:BANKIETF-EQ,ICICIPRAMC - IPRU5008
NSE:DCMNVL-EQ,DCM NOUVELLE LIMITED
NSE:SATIA-EQ,SATIA INDUSTRIES LIMITED
NSE:SIRCA-EQ,SIRCA PAINT INDIA LIMITED
NSE:SECURKLOUD-EQ,SECUREKLOUD TECH LIMITED
NSE:KSOLVES-EQ,KSOLVES INDIA LIMITED
NSE:NATHBIOGEN-EQ,NATH BIO-GENES (I) LTD
NSE:AGRITECH-EQ,AGRI-TECH (INDIA) LIMITED
NSE:LIBAS-EQ,LIBAS CONSU PRODUCTS LTD
NSE:DANGEE-EQ,DANGEE DUMS LIMITED
NSE:SUMIT-EQ,SUMIT WOODS LIMITED
NSE:SHRENIK-EQ,SHRENIK LIMITED
NSE:CREATIVE-EQ,CREATIVE NEWTECH LIMITED
NSE:HARSHA-EQ,HARSHA ENGINEERS INT LTD
NSE:IDFCFIRSTB-EQ,IDFC FIRST BANK LIMITED
NSE:AXISILVER-EQ,AXISAMC - AXISILVER
NSE:INDIGO-EQ,INTERGLOBE AVIATION LTD
NSE:SHK-EQ,S H KELKAR AND CO. LTD.
NSE:VARDHACRLC-EQ,VARDHAMAN ACRYLICS LTD
NSE:UCOBANK-EQ,UCO BANK
NSE:BAGFILMS-EQ,B.A.G FILMS AND MEDIA LTD
NSE:SUVEN-EQ,SUVEN LIFE SCIENCES LTD
NSE:JSL-EQ,JINDAL STAINLESS LIMITED
NSE:HDFCGROWTH-EQ,HDFCAMC - HDFCGROWTH
NSE:WELSPUNLIV-EQ,WELSPUN LIVING LIMITED
NSE:HDFCQUAL-EQ,HDFCAMC - HDFCQUAL
NSE:JAIBALAJI-EQ,JAI BALAJI INDUSTRIES LTD
NSE:HDFCVALUE-EQ,HDFCAMC - HDFCVALUE
NSE:IGL-EQ,INDRAPRASTHA GAS LTD
NSE:TVSELECT-EQ,TVS ELECTRONICS LTD
NSE:GHCL-EQ,GHCL LIMITED
NSE:DREDGECORP-EQ,DREDGING CORP OF INDIA
NSE:TVTODAY-EQ,TV TODAY NETWORK LTD
NSE:UPL-EQ,UPL LIMITED
NSE:GTECJAINX-EQ,G-TEC JAINX EDUCATION LTD
NSE:UNIENTER-EQ,UNIPHOS ENTERPRISES LTD
NSE:SIL-EQ,STANDARD INDUSTRIES LTD.
NSE:LUXIND-EQ,LUX INDUSTRIES LIMITED
NSE:BALAXI-EQ,BALAXI PHARMA LTD
NSE:LICNETFN50-EQ,LICNAMC - LICNFENGP
NSE:MUKANDLTD-EQ,MUKAND LTD.
NSE:APOLLO-EQ,APOLLO MICRO SYSTEMS LTD
NSE:AFFLE-EQ,AFFLE 3I LIMITED
NSE:PETRONET-EQ,PETRONET LNG LIMITED
NSE:PTC-EQ,PTC INDIA LIMITED
NSE:DHANBANK-EQ,DHANLAXMI BANK LIMITED
NSE:VAIBHAVGBL-EQ,VAIBHAV GLOBAL LIMITED
NSE:TTKHLTCARE-EQ,TTK HEALTHCARE LIMITED
NSE:BIOCON-EQ,BIOCON LIMITED.
NSE:TIPSFILMS-EQ,TIPS FILMS LIMITED
NSE:MAHABANK-EQ,BANK OF MAHARASHTRA
NSE:PVTBANIETF-EQ,ICICIPRAMC - ICICIBANKP
NSE:GICHSGFIN-EQ,GIC HOUSING FINANCE LTD
NSE:ZOTA-EQ,ZOTA HEALTH CARE LIMITED
NSE:SALZERELEC-EQ,SALZER ELECTRONICS LTD
NSE:POONAWALLA-EQ,POONAWALLA FINCORP LTD
NSE:XPROINDIA-EQ,XPRO INDIA LIMITED
NSE:RKFORGE-EQ,RAMKRISHNA FORGINGS LTD
NSE:DATAMATICS-EQ,DATAMATICS GLOBAL SER LTD
NSE:NDTV-EQ,NDTV LTD
NSE:KRITINUT-EQ,KRITI NUTRIENTS LIMITED
NSE:SPANDANA-EQ,SPANDANA SPHOORTY FIN LTD
NSE:BANKBEES-EQ,NIP IND ETF BANK BEES
NSE:LICNETFSEN-EQ,LICNAMC - LICNFESGP
NSE:GIPCL-EQ,GUJ IND POW CO. LTD
NSE:CCL-EQ,CCL PRODUCTS (I) LTD
